	allele
568	HLAA0101
569	HLAA0101
570	HLAA0101
571	HLAA0101
572	HLAA0101
573	HLAA0101
574	HLAA0101
575	HLAA0101
576	HLAA0101
577	HLAA0101
578	HLAA0101
579	HLAA0101
580	HLAA0101
581	HLAA0101
582	HLAA0101
583	HLAA0101
584	HLAA0101
585	HLAA0101
586	HLAA0101
587	HLAA0101
588	HLAA0101
589	HLAA0101
590	HLAA0101
591	HLAA0101
592	HLAA0101
593	HLAA0101
594	HLAA0101
595	HLAA0101
596	HLAA0101
597	HLAA0101
598	HLAA0101
599	HLAA0101
600	HLAA0101
601	HLAA0101
602	HLAA0101
603	HLAA0101
604	HLAA0101
605	HLAA0101
606	HLAA0101
607	HLAA0101
608	HLAA0101
609	HLAA0101
610	HLAA0101
611	HLAA0101
612	HLAA0101
613	HLAA0101
614	HLAA0101
615	HLAA0101
616	HLAA0101
617	HLAA0101
618	HLAA0101
619	HLAA0101
620	HLAA0101
621	HLAA0101
622	HLAA0101
623	HLAA0101
624	HLAA0101
625	HLAA0101
626	HLAA0101
627	HLAA0101
628	HLAA0101
629	HLAA0101
630	HLAA0101
631	HLAA0101
632	HLAA0101
633	HLAA0101
634	HLAA0101
635	HLAA0101
636	HLAA0101
637	HLAA0101
638	HLAA0101
639	HLAA0101
640	HLAA0101
641	HLAA0101
642	HLAA0101
643	HLAA0101
644	HLAA0101
645	HLAA0101
646	HLAA0101
647	HLAA0101
648	HLAA0101
649	HLAA0101
650	HLAA0101
651	HLAA0101
652	HLAA0101
653	HLAA0101
654	HLAA0101
655	HLAA0101
656	HLAA0101
657	HLAA0101
658	HLAA0101
659	HLAA0101
660	HLAA0101
661	HLAA0101
662	HLAA0101
663	HLAA0101
664	HLAA0101
665	HLAA0101
666	HLAA0101
667	HLAA0101
668	HLAA0101
669	HLAA0101
670	HLAA0101
671	HLAA0101
672	HLAA0101
673	HLAA0101
674	HLAA0101
675	HLAA0101
676	HLAA0101
677	HLAA0101
678	HLAA0101
679	HLAA0101
680	HLAA0101
681	HLAA0101
682	HLAA0101
683	HLAA0101
684	HLAA0101
685	HLAA0101
686	HLAA0101
687	HLAA0101
688	HLAA0101
689	HLAA0101
690	HLAA0101
691	HLAA0101
692	HLAA0101
693	HLAA0101
694	HLAA0101
695	HLAA0101
696	HLAA0101
697	HLAA0101
698	HLAA0101
699	HLAA0101
700	HLAA0101
701	HLAA0101
702	HLAA0101
703	HLAA0101
704	HLAA0101
705	HLAA0101
706	HLAA0101
707	HLAA0101
708	HLAA0101
709	HLAA0101
710	HLAA0101
711	HLAA0101
712	HLAA0101
713	HLAA0101
714	HLAA0101
715	HLAA0101
716	HLAA0101
717	HLAA0101
718	HLAA0101
719	HLAA0101
720	HLAA0101
721	HLAA0101
722	HLAA0101
723	HLAA0101
724	HLAA0101
725	HLAA0101
726	HLAA0101
727	HLAA0101
728	HLAA0101
729	HLAA0101
730	HLAA0101
731	HLAA0101
732	HLAA0101
733	HLAA0101
734	HLAA0101
735	HLAA0101
736	HLAA0101
737	HLAA0101
738	HLAA0101
739	HLAA0101
740	HLAA0101
741	HLAA0101
742	HLAA0101
743	HLAA0101
744	HLAA0101
745	HLAA0101
746	HLAA0101
747	HLAA0101
748	HLAA0101
749	HLAA0101
750	HLAA0101
751	HLAA0101
752	HLAA0101
753	HLAA0101
754	HLAA0101
755	HLAA0101
756	HLAA0101
757	HLAA0101
758	HLAA0101
759	HLAA0101
760	HLAA0101
761	HLAA0101
762	HLAA0101
763	HLAA0101
764	HLAA0101
765	HLAA0101
766	HLAA0101
767	HLAA0101
768	HLAA0101
769	HLAA0101
770	HLAA0101
771	HLAA0101
772	HLAA0101
773	HLAA0101
774	HLAA0101
775	HLAA0101
776	HLAA0101
777	HLAA0101
778	HLAA0101
779	HLAA0101
780	HLAA0101
781	HLAA0101
782	HLAA0101
783	HLAA0101
784	HLAA0101
785	HLAA0101
786	HLAA0101
787	HLAA0101
788	HLAA0101
789	HLAA0101
790	HLAA0101
791	HLAA0101
792	HLAA0101
793	HLAA0101
794	HLAA0101
795	HLAA0101
796	HLAA0101
797	HLAA0101
798	HLAA0101
799	HLAA0101
800	HLAA0101
801	HLAA0101
802	HLAA0101
803	HLAA0101
804	HLAA0101
805	HLAA0101
806	HLAA0101
807	HLAA0101
808	HLAA0101
809	HLAA0101
810	HLAA0101
811	HLAA0101
812	HLAA0101
813	HLAA0101
814	HLAA0101
815	HLAA0101
816	HLAA0101
817	HLAA0101
818	HLAA0101
819	HLAA0101
820	HLAA0101
821	HLAA0101
822	HLAA0101
823	HLAA0101
824	HLAA0101
825	HLAA0101
826	HLAA0101
827	HLAA0101
828	HLAA0101
829	HLAA0101
830	HLAA0101
831	HLAA0101
832	HLAA0101
833	HLAA0101
834	HLAA0101
835	HLAA0101
836	HLAA0101
837	HLAA0101
838	HLAA0101
839	HLAA0101
840	HLAA0101
841	HLAA0101
842	HLAA0101
843	HLAA0101
844	HLAA0101
845	HLAA0101
846	HLAA0101
847	HLAA0101
848	HLAA0101
849	HLAA0101
850	HLAA0101
851	HLAA0101
852	HLAA0101
853	HLAA0101
854	HLAA0101
855	HLAA0101
856	HLAA0101
857	HLAA0101
858	HLAA0101
859	HLAA0101
860	HLAA0101
861	HLAA0101
862	HLAA0101
863	HLAA0101
864	HLAA0101
865	HLAA0101
866	HLAA0101
867	HLAA0101
868	HLAA0101
869	HLAA0101
870	HLAA0101
871	HLAA0101
872	HLAA0101
873	HLAA0101
874	HLAA0101
875	HLAA0101
876	HLAA0101
877	HLAA0101
878	HLAA0101
879	HLAA0101
880	HLAA0101
881	HLAA0101
882	HLAA0101
883	HLAA0101
884	HLAA0101
885	HLAA0101
886	HLAA0101
887	HLAA0101
888	HLAA0101
889	HLAA0101
890	HLAA0101
891	HLAA0101
892	HLAA0101
893	HLAA0101
894	HLAA0101
895	HLAA0101
896	HLAA0101
897	HLAA0101
898	HLAA0101
899	HLAA0101
900	HLAA0101
901	HLAA0101
902	HLAA0101
903	HLAA0101
904	HLAA0101
905	HLAA0101
906	HLAA0101
907	HLAA0101
908	HLAA0101
909	HLAA0101
910	HLAA0101
911	HLAA0101
912	HLAA0101
913	HLAA0101
914	HLAA0101
915	HLAA0101
916	HLAA0101
917	HLAA0101
918	HLAA0101
919	HLAA0101
920	HLAA0101
921	HLAA0101
922	HLAA0101
923	HLAA0101
924	HLAA0101
925	HLAA0101
926	HLAA0101
927	HLAA0101
928	HLAA0101
929	HLAA0101
930	HLAA0101
931	HLAA0101
932	HLAA0101
933	HLAA0101
934	HLAA0101
935	HLAA0101
936	HLAA0101
937	HLAA0101
938	HLAA0101
939	HLAA0101
940	HLAA0101
941	HLAA0101
942	HLAA0101
943	HLAA0101
944	HLAA0101
945	HLAA0101
946	HLAA0101
947	HLAA0101
948	HLAA0101
949	HLAA0101
950	HLAA0101
951	HLAA0101
952	HLAA0101
953	HLAA0101
954	HLAA0101
955	HLAA0101
956	HLAA0101
957	HLAA0101
958	HLAA0101
959	HLAA0101
960	HLAA0101
961	HLAA0101
962	HLAA0101
963	HLAA0101
964	HLAA0101
965	HLAA0101
966	HLAA0101
967	HLAA0101
968	HLAA0101
969	HLAA0101
970	HLAA0101
971	HLAA0101
972	HLAA0101
973	HLAA0101
974	HLAA0101
975	HLAA0101
976	HLAA0101
977	HLAA0101
978	HLAA0101
979	HLAA0101
980	HLAA0101
981	HLAA0101
982	HLAA0101
983	HLAA0101
984	HLAA0101
985	HLAA0101
986	HLAA0101
987	HLAA0101
988	HLAA0101
989	HLAA0101
990	HLAA0101
991	HLAA0101
992	HLAA0101
993	HLAA0101
994	HLAA0101
995	HLAA0101
996	HLAA0101
997	HLAA0101
998	HLAA0101
999	HLAA0101
1000	HLAA0101
1001	HLAA0101
1002	HLAA0101
1003	HLAA0101
1004	HLAA0101
1005	HLAA0101
1006	HLAA0101
1007	HLAA0101
1008	HLAA0101
1009	HLAA0101
1010	HLAA0101
1011	HLAA0101
1012	HLAA0101
1013	HLAA0101
1014	HLAA0101
1015	HLAA0101
1016	HLAA0101
1017	HLAA0101
1018	HLAA0101
1019	HLAA0101
1020	HLAA0101
1021	HLAA0101
1022	HLAA0101
1023	HLAA0101
1024	HLAA0101
1025	HLAA0101
1026	HLAA0101
1027	HLAA0101
1028	HLAA0101
1029	HLAA0101
1030	HLAA0101
1031	HLAA0101
1032	HLAA0101
1033	HLAA0101
1034	HLAA0101
1035	HLAA0101
1036	HLAA0101
1037	HLAA0101
1038	HLAA0101
1039	HLAA0101
1040	HLAA0101
1041	HLAA0101
1042	HLAA0101
1043	HLAA0101
1044	HLAA0101
1045	HLAA0101
1046	HLAA0101
1047	HLAA0101
1048	HLAA0101
1049	HLAA0101
1050	HLAA0101
1051	HLAA0101
1052	HLAA0101
1053	HLAA0101
1054	HLAA0101
1055	HLAA0101
1056	HLAA0101
1057	HLAA0101
1058	HLAA0101
1059	HLAA0101
1060	HLAA0101
1061	HLAA0101
1062	HLAA0101
1063	HLAA0101
1064	HLAA0101
1065	HLAA0101
1066	HLAA0101
1067	HLAA0101
1068	HLAA0101
1069	HLAA0101
1070	HLAA0101
1071	HLAA0101
1072	HLAA0101
1073	HLAA0101
1074	HLAA0101
1075	HLAA0101
1076	HLAA0101
1077	HLAA0101
1078	HLAA0101
1079	HLAA0101
1080	HLAA0101
1081	HLAA0101
1082	HLAA0101
1083	HLAA0101
1084	HLAA0101
1085	HLAA0101
1086	HLAA0101
1087	HLAA0101
1088	HLAA0101
1089	HLAA0101
1090	HLAA0101
1091	HLAA0101
1092	HLAA0101
1093	HLAA0101
1094	HLAA0101
1095	HLAA0101
1096	HLAA0101
1097	HLAA0101
1098	HLAA0101
1099	HLAA0101
1100	HLAA0101
1101	HLAA0101
1102	HLAA0101
1103	HLAA0101
1104	HLAA0101
1105	HLAA0101
1106	HLAA0101
1107	HLAA0101
1108	HLAA0101
1109	HLAA0101
1110	HLAA0101
1111	HLAA0101
1112	HLAA0101
1113	HLAA0101
1114	HLAA0101
1115	HLAA0101
1116	HLAA0101
1117	HLAA0101
1118	HLAA0101
1119	HLAA0101
1120	HLAA0101
1121	HLAA0101
1122	HLAA0101
1123	HLAA0101
1124	HLAA0101
1125	HLAA0101
1126	HLAA0101
1127	HLAA0101
1128	HLAA0101
1129	HLAA0101
1130	HLAA0101
1131	HLAA0101
1132	HLAA0101
1133	HLAA0101
1134	HLAA0101
1135	HLAA0101
1136	HLAA0101
1137	HLAA0101
1138	HLAA0101
1139	HLAA0101
1140	HLAA0101
1141	HLAA0101
1142	HLAA0101
1143	HLAA0101
1144	HLAA0101
1145	HLAA0101
1146	HLAA0101
1147	HLAA0101
1148	HLAA0101
1149	HLAA0101
1150	HLAA0101
1151	HLAA0101
1152	HLAA0101
1153	HLAA0101
1154	HLAA0101
1155	HLAA0101
1156	HLAA0101
1157	HLAA0101
1158	HLAA0101
1159	HLAA0101
1160	HLAA0101
1161	HLAA0101
1162	HLAA0101
1163	HLAA0101
1164	HLAA0101
1165	HLAA0101
1166	HLAA0101
1167	HLAA0101
1168	HLAA0101
1169	HLAA0101
1170	HLAA0101
1171	HLAA0101
1172	HLAA0101
1173	HLAA0101
1174	HLAA0101
1175	HLAA0101
1176	HLAA0101
1177	HLAA0101
1178	HLAA0101
1179	HLAA0101
1180	HLAA0101
1181	HLAA0101
1182	HLAA0101
1183	HLAA0101
1184	HLAA0101
1185	HLAA0101
1186	HLAA0101
1187	HLAA0101
1188	HLAA0101
1189	HLAA0101
1190	HLAA0101
1191	HLAA0101
1192	HLAA0101
1193	HLAA0101
1194	HLAA0101
1195	HLAA0101
1196	HLAA0101
1197	HLAA0101
1198	HLAA0101
1199	HLAA0101
1200	HLAA0101
1201	HLAA0101
1202	HLAA0101
1203	HLAA0101
1204	HLAA0101
1205	HLAA0101
1206	HLAA0101
1207	HLAA0101
1208	HLAA0101
1209	HLAA0101
1210	HLAA0101
1211	HLAA0101
1212	HLAA0101
1213	HLAA0101
1214	HLAA0101
1215	HLAA0101
1216	HLAA0101
1217	HLAA0101
1218	HLAA0101
1219	HLAA0101
1220	HLAA0101
1221	HLAA0101
1222	HLAA0101
1223	HLAA0101
1224	HLAA0101
1225	HLAA0101
1226	HLAA0101
1227	HLAA0101
1228	HLAA0101
1229	HLAA0101
1230	HLAA0101
1231	HLAA0101
1232	HLAA0101
1233	HLAA0101
1234	HLAA0101
1235	HLAA0101
1236	HLAA0101
1237	HLAA0101
1238	HLAA0101
1239	HLAA0101
1240	HLAA0101
1241	HLAA0101
1242	HLAA0101
1243	HLAA0101
1244	HLAA0101
1245	HLAA0101
1246	HLAA0101
1247	HLAA0101
1248	HLAA0101
1249	HLAA0101
1250	HLAA0101
1251	HLAA0101
1252	HLAA0101
1253	HLAA0101
1254	HLAA0101
1255	HLAA0101
1256	HLAA0101
1257	HLAA0101
1258	HLAA0101
1259	HLAA0101
1260	HLAA0101
1261	HLAA0101
1262	HLAA0101
1263	HLAA0101
1264	HLAA0101
1265	HLAA0101
1266	HLAA0101
1267	HLAA0101
1268	HLAA0101
1269	HLAA0101
1270	HLAA0101
1271	HLAA0101
1272	HLAA0101
1273	HLAA0101
1274	HLAA0101
1275	HLAA0101
1276	HLAA0101
1277	HLAA0101
1278	HLAA0101
1279	HLAA0101
1280	HLAA0101
1281	HLAA0101
1282	HLAA0101
1283	HLAA0101
1284	HLAA0101
1285	HLAA0101
1286	HLAA0101
1287	HLAA0101
1288	HLAA0101
1289	HLAA0101
1290	HLAA0101
1291	HLAA0101
1292	HLAA0101
1293	HLAA0101
1294	HLAA0101
1295	HLAA0101
1296	HLAA0101
1297	HLAA0101
1298	HLAA0101
1299	HLAA0101
1300	HLAA0101
1301	HLAA0101
1302	HLAA0101
1303	HLAA0101
1304	HLAA0101
1305	HLAA0101
1306	HLAA0101
1307	HLAA0101
1308	HLAA0101
1309	HLAA0101
1310	HLAA0101
1311	HLAA0101
1312	HLAA0101
1313	HLAA0101
1314	HLAA0101
1315	HLAA0101
1316	HLAA0101
1317	HLAA0101
1318	HLAA0101
1319	HLAA0101
1320	HLAA0101
1321	HLAA0101
1322	HLAA0101
1323	HLAA0101
1324	HLAA0101
1325	HLAA0101
1326	HLAA0101
1327	HLAA0101
1328	HLAA0101
1329	HLAA0101
1330	HLAA0101
1331	HLAA0101
1332	HLAA0101
1333	HLAA0101
1334	HLAA0101
1335	HLAA0101
1336	HLAA0101
1337	HLAA0101
1338	HLAA0101
1339	HLAA0101
1340	HLAA0101
1341	HLAA0101
1342	HLAA0101
1343	HLAA0101
1344	HLAA0101
1345	HLAA0101
1346	HLAA0101
1347	HLAA0101
1348	HLAA0101
1349	HLAA0101
1350	HLAA0101
1351	HLAA0101
1352	HLAA0101
1353	HLAA0101
1354	HLAA0101
1355	HLAA0101
1356	HLAA0101
1357	HLAA0101
1358	HLAA0101
1359	HLAA0101
1360	HLAA0101
1361	HLAA0101
1362	HLAA0101
1363	HLAA0101
1364	HLAA0101
1365	HLAA0101
1366	HLAA0101
1367	HLAA0101
1368	HLAA0101
1369	HLAA0101
1370	HLAA0101
1371	HLAA0101
1372	HLAA0101
1373	HLAA0101
1374	HLAA0101
1375	HLAA0101
1376	HLAA0101
1377	HLAA0101
1378	HLAA0101
1379	HLAA0101
1380	HLAA0101
1381	HLAA0101
1382	HLAA0101
1383	HLAA0101
1384	HLAA0101
1385	HLAA0101
1386	HLAA0101
1387	HLAA0101
1388	HLAA0101
1389	HLAA0101
1390	HLAA0101
1391	HLAA0101
1392	HLAA0101
1393	HLAA0101
1394	HLAA0101
1395	HLAA0101
1396	HLAA0101
1397	HLAA0101
1398	HLAA0101
1399	HLAA0101
1400	HLAA0101
1401	HLAA0101
1402	HLAA0101
1403	HLAA0101
1404	HLAA0101
1405	HLAA0101
1406	HLAA0101
1407	HLAA0101
1408	HLAA0101
1409	HLAA0101
1410	HLAA0101
1411	HLAA0101
1412	HLAA0101
1413	HLAA0101
1414	HLAA0101
1415	HLAA0101
1416	HLAA0101
1417	HLAA0101
1418	HLAA0101
1419	HLAA0101
1420	HLAA0101
1421	HLAA0101
1422	HLAA0101
1423	HLAA0101
1424	HLAA0101
1425	HLAA0101
1426	HLAA0101
1427	HLAA0101
1428	HLAA0101
1429	HLAA0101
1430	HLAA0101
1431	HLAA0101
1432	HLAA0101
1433	HLAA0101
1434	HLAA0101
1435	HLAA0101
1436	HLAA0101
1437	HLAA0101
1438	HLAA0101
1439	HLAA0101
1440	HLAA0101
1441	HLAA0101
1442	HLAA0101
1443	HLAA0101
1444	HLAA0101
1445	HLAA0101
1446	HLAA0101
1447	HLAA0101
1448	HLAA0101
1449	HLAA0101
1450	HLAA0101
1451	HLAA0101
1452	HLAA0101
1453	HLAA0101
1454	HLAA0101
1455	HLAA0101
1456	HLAA0101
1457	HLAA0101
1458	HLAA0101
1459	HLAA0101
1460	HLAA0101
1461	HLAA0101
1462	HLAA0101
1463	HLAA0101
1464	HLAA0101
1465	HLAA0101
1466	HLAA0101
1467	HLAA0101
1468	HLAA0101
1469	HLAA0101
1470	HLAA0101
1471	HLAA0101
1472	HLAA0101
1473	HLAA0101
1474	HLAA0101
1475	HLAA0101
1476	HLAA0101
1477	HLAA0101
1478	HLAA0101
1479	HLAA0101
1480	HLAA0101
1481	HLAA0101
1482	HLAA0101
1483	HLAA0101
1484	HLAA0101
1485	HLAA0101
1486	HLAA0101
1487	HLAA0101
1488	HLAA0101
1489	HLAA0101
1490	HLAA0101
1491	HLAA0101
1492	HLAA0101
1493	HLAA0101
1494	HLAA0101
1495	HLAA0101
1496	HLAA0101
1497	HLAA0101
1498	HLAA0101
